           <...>-2430  [001] d.h. 13318.392576: memguard_process_overflow: perf_event_count(cinfo->event)=5587571
           <...>-2430  [001] d.h. 13318.393617: memguard_process_overflow: perf_event_count(cinfo->event)=5608482
      Compositor-2466  [007] d.h. 13318.394582: memguard_process_overflow: perf_event_count(cinfo->event)=14591742
           <...>-2430  [001] d.h. 13318.395657: memguard_process_overflow: perf_event_count(cinfo->event)=5615900
           <...>-2430  [001] d.h. 13318.400289: memguard_process_overflow: perf_event_count(cinfo->event)=5624227
           <...>-2430  [001] d.h. 13318.400493: memguard_process_overflow: perf_event_count(cinfo->event)=5632429
            Xorg-1942  [007] d.h. 13318.413267: memguard_process_overflow: perf_event_count(cinfo->event)=14605089
           <...>-2430  [001] d.h. 13318.415364: memguard_process_overflow: perf_event_count(cinfo->event)=5642699
           <...>-2430  [001] d.h. 13318.415512: memguard_process_overflow: perf_event_count(cinfo->event)=5646197
           <...>-2430  [001] d.h. 13318.416493: memguard_process_overflow: perf_event_count(cinfo->event)=5676618
           <...>-2430  [001] d.h. 13318.417540: memguard_process_overflow: perf_event_count(cinfo->event)=5703691
           <...>-2430  [001] d.h. 13318.418610: memguard_process_overflow: perf_event_count(cinfo->event)=5723138
      Compositor-2466  [001] d.h. 13318.434676: memguard_process_overflow: perf_event_count(cinfo->event)=5748676
      Compositor-2466  [001] d.h. 13318.436310: memguard_process_overflow: perf_event_count(cinfo->event)=5777817
      Compositor-2466  [001] d.h. 13318.450776: memguard_process_overflow: perf_event_count(cinfo->event)=5783266
 gnome-terminal--3928  [007] d.h. 13318.816654: memguard_process_overflow: perf_event_count(cinfo->event)=14644775
 gnome-terminal--3928  [007] d.h. 13318.817715: memguard_process_overflow: perf_event_count(cinfo->event)=14648918
 gnome-terminal--3928  [007] d.h. 13318.818808: memguard_process_overflow: perf_event_count(cinfo->event)=14653054
 gnome-terminal--3928  [007] d.h. 13318.819963: memguard_process_overflow: perf_event_count(cinfo->event)=14657185
            Xorg-1942  [006] d.h. 13318.820690: memguard_process_overflow: perf_event_count(cinfo->event)=5587410
 gnome-terminal--3928  [007] d.h. 13318.820826: memguard_process_overflow: perf_event_count(cinfo->event)=14661315
            Xorg-1942  [006] d.h. 13318.821485: memguard_process_overflow: perf_event_count(cinfo->event)=5589059
            Xorg-1942  [006] d.h. 13318.822623: memguard_process_overflow: perf_event_count(cinfo->event)=5590702
            Xorg-1942  [007] d.h. 13318.984815: memguard_process_overflow: perf_event_count(cinfo->event)=14679774
            Xorg-1942  [007] d.h. 13319.419064: memguard_process_overflow: perf_event_count(cinfo->event)=14687928
 gnome-terminal--3928  [007] d.h. 13319.816605: memguard_process_overflow: perf_event_count(cinfo->event)=14698351
 gnome-terminal--3928  [007] d.h. 13319.818106: memguard_process_overflow: perf_event_count(cinfo->event)=14702485
            sudo-4671  [001] d.h. 13319.819337: memguard_process_overflow: perf_event_count(cinfo->event)=5788743
            sudo-4671  [001] d.h. 13319.819616: memguard_process_overflow: perf_event_count(cinfo->event)=5790382
            sudo-4671  [001] d.h. 13319.820838: memguard_process_overflow: perf_event_count(cinfo->event)=5794342
            sudo-4671  [001] d.h. 13319.821812: memguard_process_overflow: perf_event_count(cinfo->event)=5799638
            sudo-4671  [001] d.h. 13319.823134: memguard_process_overflow: perf_event_count(cinfo->event)=5802259
 gnome-terminal--3928  [007] d.h. 13319.829588: memguard_process_overflow: perf_event_count(cinfo->event)=14711437
 gnome-terminal--3928  [007] d.h. 13319.830567: memguard_process_overflow: perf_event_count(cinfo->event)=14715566
 gsd-housekeepin-2204  [006] d.h. 13319.830921: memguard_process_overflow: perf_event_count(cinfo->event)=5598304
         systemd-1     [001] d.h. 13319.831251: memguard_process_overflow: perf_event_count(cinfo->event)=5806379
            sudo-4675  [007] d.h. 13321.308976: memguard_process_overflow: perf_event_count(cinfo->event)=14782226
            grep-4679  [001] d.h. 13322.765305: memguard_process_overflow: perf_event_count(cinfo->event)=5832089
 systemd-journal-377   [001] d.h. 13322.768323: memguard_process_overflow: perf_event_count(cinfo->event)=5835078
 systemd-journal-377   [001] d.h. 13324.214834: memguard_process_overflow: perf_event_count(cinfo->event)=5842258
            sudo-4683  [006] d.h. 13324.216528: memguard_process_overflow: perf_event_count(cinfo->event)=5647968
            sudo-4683  [006] d.h. 13324.217872: memguard_process_overflow: perf_event_count(cinfo->event)=5649614
            sudo-4683  [006] d.h. 13324.218318: memguard_process_overflow: perf_event_count(cinfo->event)=5651262
            sudo-4683  [006] d.h. 13324.219159: memguard_process_overflow: perf_event_count(cinfo->event)=5652904
            sudo-4683  [006] d.h. 13324.220257: memguard_process_overflow: perf_event_count(cinfo->event)=5654543
            sudo-4683  [006] d.h. 13324.221779: memguard_process_overflow: perf_event_count(cinfo->event)=5656182
            sudo-4683  [006] d.h. 13324.222396: memguard_process_overflow: perf_event_count(cinfo->event)=5657829
            sudo-4683  [006] d.h. 13325.670049: memguard_process_overflow: perf_event_count(cinfo->event)=5718100
        nautilus-4594  [007] d.h. 13325.670055: memguard_process_overflow: perf_event_count(cinfo->event)=17297227
 systemd-journal-377   [001] d.h. 13325.670149: memguard_process_overflow: perf_event_count(cinfo->event)=5899930
 systemd-journal-377   [001] d.h. 13325.670998: memguard_process_overflow: perf_event_count(cinfo->event)=5901620
            Xorg-1942  [001] d.h. 13325.672195: memguard_process_overflow: perf_event_count(cinfo->event)=5905547
            sudo-4688  [006] d.h. 13325.672658: memguard_process_overflow: perf_event_count(cinfo->event)=5721101
            Xorg-1942  [001] d.h. 13325.673194: memguard_process_overflow: perf_event_count(cinfo->event)=5910998
            sudo-4688  [006] d.h. 13325.673429: memguard_process_overflow: perf_event_count(cinfo->event)=5722746
            Xorg-1942  [001] d.h. 13325.674191: memguard_process_overflow: perf_event_count(cinfo->event)=5916505
            sudo-4688  [006] d.h. 13325.674651: memguard_process_overflow: perf_event_count(cinfo->event)=5724388
            Xorg-1942  [001] d.h. 13325.675369: memguard_process_overflow: perf_event_count(cinfo->event)=5921920
            sudo-4688  [006] d.h. 13325.675844: memguard_process_overflow: perf_event_count(cinfo->event)=5726038
            sudo-4688  [006] d.h. 13325.676095: memguard_process_overflow: perf_event_count(cinfo->event)=5727679
            sudo-4688  [006] d.h. 13325.677236: memguard_process_overflow: perf_event_count(cinfo->event)=5729318
            Xorg-1942  [001] d.h. 13325.677402: memguard_process_overflow: perf_event_count(cinfo->event)=5925726
            Xorg-1942  [001] d.h. 13325.678224: memguard_process_overflow: perf_event_count(cinfo->event)=5927407
            sudo-4688  [006] d.h. 13325.678529: memguard_process_overflow: perf_event_count(cinfo->event)=5730956
            sudo-4688  [006] d.h. 13325.679319: memguard_process_overflow: perf_event_count(cinfo->event)=5732594
            Xorg-1942  [001] d.h. 13325.680180: memguard_process_overflow: perf_event_count(cinfo->event)=5933166
            sudo-4688  [006] d.h. 13325.680381: memguard_process_overflow: perf_event_count(cinfo->event)=5734237
